url|id_auteur|auteur|sexe|pays|haiku
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7826&lg=f|mout-a|Abelhak  Moutachaoui Abdou|H|Maroc|Neige de printemps-\\une lune dans le ciel\\une autre dans la flaque d'eau
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4742&lg=f|naga-l|Louis Nagara|H|France|métro du matin \\cette odeur d'urine \\tenace
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3238&lg=f|holl-m|Mark Holloway|H|UK|(gel intense --\\au creux de la poche de ma veste\\un verre roulé par la mer de l'été)
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4275&lg=f|gabr-d|Damien Gabriels|H|France|double vitrage -\\le croissant de lune\\et son reflet
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5931&lg=f|pham-mt|Minh-Triêt Pham|H|France|journée de prévention routière –\\elle laisse entrevoir\\son string fluo
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7144&lg=f|rais-c|Carol Raisfeld|F|USA|la terre ramollie ...\\nous plantions des tulipes\\quand il m'aimait
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1180&lg=f|supo-l|Lucia Supova|F|Luxembourg|pleine lune d`octobre\\sur les rails --\\le vent chaud
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2893&lg=f|quin-p|Philippe Quinta|H|France|nuit d'hiver -\\ma poubelle va passer la nuit\\avec d'autres
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6629&lg=f|wisd-j|John Wisdom|H|USA|night bus stop\\the plop of a Styrofoam cup\\and swirl of coffee
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5281&lg=f|bala-i|Israel Balan|H|Mexico|24 hour store -\\jacaranda flowers fall \\day &amp; night
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=27&lg=f|quer-p|Pascal Quero|H|France|matin de banlieue\\les escargots gagnent l'herbe\\de la voie ferrée
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7359&lg=f|masm-s|Sarra Masmoudi|F|Tunisie|pas un souffle\\dans l'immense plaine~\\étoiles filantes
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5294&lg=f|kolo-a|Angelika Kolompar Renville|F|Canada|Cinq années de haïku\\dans une grande boite de carton\\dessus, le chat
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4918&lg=f|gabr-d|Damien Gabriels|H|France|matin silencieux -\\quelques gouttes de lait\\dans mon café noir
