http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2255&lg=f | Daniel Py | France | dimanche 7/1/7\\le couteau à cheval\\sur la fève
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4701&lg=f | Martin Cohen | USA | après la pluie une rue d'hiver pleine de lunes
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5602&lg=f | Paul David Mena | USA | fumeurs agglutinés --\\une autre conversation\\sur le Cloud
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4853&lg=f | John McDonald | Scotland (UK) | JOUR DE VENTE -\\un lever anticipée\\pour le sans-abri
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2379&lg=f | Dominique Champollion | France | suivant le cercueil\\il lui raconte à l'oreille\\son dernier voyage
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7913&lg=f | Sarra Masmoudi | Tunisie | grand ciel sans fin~\\le nichoir vide
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3171&lg=f | William Sorlien | USA | entre le bourdonnement\\des tondeuses\\une odeur de pluie
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7451&lg=f | Sarra Masmoudi | Tunisie | pluie de fin d'été~\\tous ces vieux objets\\dans la cave
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7652&lg=f | Jimmy Poirier | Canada | sur la terrasse\\mon café miroitant\\sucrer le ciel
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=709&lg=f | Pascal Quero | France | huit heures.\\trois quart lune, son halo\\d'hiver - rond encore
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1850&lg=f | Isabel Asunsolo | France | porte entrouverte -\\les guirlandes s'illuminent\\une seconde
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1930&lg=f | André Cayrel | France | plage naturiste.je sors de l'eau devant elle\\diminué par le froid
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6229&lg=f | Mohamad Alsari | Syria | La cour de la prison\\dans la flaque de la pluie\\la lune
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3208&lg=f | Mark Holloway | UK | the year's end\\all those graveyard names\\carved into the fog
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=896&lg=f | Rob Flipse | the Netherlands | soûl sur le perron\\de la fausse maison\\la clef en main
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=391&lg=f | Rob Flipse | the Netherlands | les jours rétrécissent\\la petaside desséchée\\n'est plus aussi grande
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7336&lg=f | Sarra Masmoudi | Tunisie | souks de la médina~\\dans chaque boutique\\le salut d'un chat
http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5760&lg=f | Paul David Mena | USA | occupying Wall Street\\les fantômes\\de mes rêves de retraite
