,url,id_auteur,auteur,sexe,pays,haiku
103,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3883&lg=f,hell-e,Eric Hellal,H,France,sur la baigneuse\\un maillot à rayures\\- mer plate
104,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4149&lg=f,gabr-d,Damien Gabriels,H,France,toilettes de la plage -\\la chasse d'eau emporte\\le bruit des vagues
105,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1389&lg=f,lall-m,Marylène Lallemand,F,France,"avec un élève\\une heure à parler de ""Cocteau""\\très loin des copies..."
106,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5545&lg=f,mcdo-j,John McDonald,H,Scotland(UK),été indien -\\des abeilles\\les ombres longues
107,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4874&lg=f,serj-d,David Serjeant,H,UK,recyclée\\avec chaque bouteille\\la même résolution
108,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=8032&lg=f,masm-s,Sarra Masmoudi,F,Tunisie,l'odeur de pain\\emplit la bourgade~\\lune de l'aube
109,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5266&lg=f,kolo-a,Angelika Kolompar Renville,F,Canada,je regarde au calendrier\\pour voir si c'est un jour spécial --\\Journée Internationale des Femmes
110,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6832&lg=f,mena-pd,Paul David Mena,H,USA,dans la souche creuse\\du vieil arbre\\des coquelicots en fleurs
111,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5765&lg=f,mena-pd,Paul David Mena,H,USA,premier dégel -\\quelqu'un aurait du prévenir\\les jonquilles
112,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=265&lg=f,supo-l,Lucia Supova,F,Luxembourg,ce soir dans la rue\\un parfum du chocolat\\noir
113,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5419&lg=f,mena-pd,Paul David Mena,H,USA,ville fantôme --\\un coq chante\\sans aucune raison
114,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6466&lg=f,holl-m,Mark Holloway,H,UK,(entre les averses\\le va-et-vient de l'orchestre par\\la fenêtre à demi-ouverte)
115,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6362&lg=f,holl-m,Mark Holloway,H,UK,ombres. un rebord de fenêtre\\juste assez grand pour abriter\\deux colombes
116,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7689&lg=f,hoar-v,Vincent Hoarau,H,France,dernier jour de l'an ~\\dans un rayon de soleil\\la poussière des livres
117,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5712&lg=f,breh-p,Philippe Bréham,H,France,parc en hiver\\le manège illuminé tourne\\sans enfants
118,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6299&lg=f,mena-pd,Paul David Mena,H,USA,fin d'un long week-end\\que le requiem\\commence
119,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1582&lg=f,cayr-a,André Cayrel,H,France,culte de la tradition\\et des criminels de guerre\\- cerisiers en fleurs
120,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3112&lg=f,hell-e,Eric Hellal,H,France,dans la citrouille \\à la place de la bougie \\une lampe à diode
121,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2805&lg=f,quin-p,Philippe Quinta,H,France,"première flambée -\\dehors, le dernier voyage\\d'un canadair"
122,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1780&lg=f,cesa-jc,Jean-Claude César,H,France,Intifada-\\d'un côté les cravates\\de l'autre les Nike
123,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6005&lg=f,alsa-m,Mohamad Alsari,H,Syria,La voix du bombardement se lève-\\du haut de la cascade\\la lune tombe
124,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6257&lg=f,quin-p,Philippe Quinta,H,France,quelqu'un marche\\autour de la maison -\\pluie de printemps
125,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=164&lg=f,moin-e,Emilie Moineau,F,France,zébrures dans l'espace\\le store se coule dans la rue\\par une fenêtre
126,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6845&lg=f,wisd-j,John Wisdom,H,USA,brouillard du matin\\des pousses vertes d'oignons\\crevassent le sol
127,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1678&lg=f,vanm-r,Robert Van Muylder,H,Belgique,pain beurré -\\le boulanger enfin\\assis
128,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5643&lg=f,holl-m,Mark Holloway,H,UK,dans le jardin clos\\l'odeur\\des pommes en décomposition
129,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=826&lg=f,cesa-jc,Jean-Claude César,H,France,Matin d'hiver-\\le zizi du jardinier\\tout rabougri...
130,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3881&lg=f,dute-d,Danièle Duteil,F,France,risque de fusion -\\sur mes doigts l'odeur\\des immortelles de mer
